,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,106609094.0,106332315.0,105980466.0
Share Issued,106609094.0,106332315.0,105980466.0
Total Debt,234131000.0,398594000.0,482271000.0
Tangible Book Value,5790487000.0,5899580000.0,5450328000.0
Invested Capital,6020404000.0,6199452000.0,5800159000.0
Working Capital,2753373000.0,2464365000.0,2167137000.0
Net Tangible Assets,5790487000.0,5899580000.0,5450328000.0
Capital Lease Obligations,49782000.0,158693000.0,203040000.0
Common Stock Equity,5836055000.0,5959551000.0,5520928000.0
Total Capitalization,6020404000.0,6195556000.0,5758619000.0
Total Equity Gross Minority Interest,5836055000.0,5959551000.0,5520928000.0
Stockholders Equity,5836055000.0,5959551000.0,5520928000.0
Gains Losses Not Affecting Retained Earnings,-191817000.0,-96362000.0,-61726000.0
Other Equity Adjustments,-191817000.0,-96362000.0,-61726000.0
Retained Earnings,3140289000.0,3184455000.0,2715762000.0
Additional Paid In Capital,2887476000.0,2871352000.0,2866786000.0
Capital Stock,107000.0,106000.0,106000.0
Common Stock,107000.0,106000.0,106000.0
Total Liabilities Net Minority Interest,2415173000.0,1454195000.0,1588003000.0
Total Non Current Liabilities Net Minority Interest,1377125000.0,727317000.0,740605000.0
Other Non Current Liabilities,27292000.0,43658000.0,41784000.0
Derivative Product Liabilities,,,341000.0
Non Current Accrued Expenses,151241000.0,178100000.0,203506000.0
Tradeand Other Payables Non Current,,,6515000.0
Non Current Deferred Liabilities,973654000.0,123642000.0,68590000.0
Non Current Deferred Revenue,944725000.0,95943000.0,44919000.0
Non Current Deferred Taxes Liabilities,28929000.0,27699000.0,23671000.0
Long Term Debt And Capital Lease Obligation,224938000.0,381917000.0,426725000.0
Long Term Capital Lease Obligation,40589000.0,145912000.0,189034000.0
Long Term Debt,184349000.0,236005000.0,237691000.0
Current Liabilities,1038048000.0,726878000.0,847398000.0
Other Current Liabilities,10867000.0,13843000.0,64611000.0
Current Deferred Liabilities,263215000.0,201868000.0,188813000.0
Current Deferred Revenue,263215000.0,201868000.0,188813000.0
Current Debt And Capital Lease Obligation,9193000.0,16677000.0,55546000.0
Current Capital Lease Obligation,9193000.0,12781000.0,14006000.0
Current Debt,,3896000.0,41540000.0
Other Current Borrowings,,3896000.0,41540000.0
Pensionand Other Post Retirement Benefit Plans Current,47939000.0,34606000.0,51685000.0
Payables And Accrued Expenses,706834000.0,459884000.0,486743000.0
Current Accrued Expenses,315078000.0,230741000.0,247134000.0
Payables,391756000.0,229143000.0,239609000.0
Total Tax Payable,50347000.0,35769000.0,56260000.0
Income Tax Payable,29397000.0,4543000.0,14571000.0
Accounts Payable,341409000.0,193374000.0,183349000.0
Total Assets,8251228000.0,7413746000.0,7108931000.0
Total Non Current Assets,4459807000.0,4222503000.0,4094396000.0
Other Non Current Assets,537856000.0,838116000.0,911862000.0
Non Current Prepaid Assets,91260000.0,86962000.0,97883000.0
Non Current Deferred Assets,78680000.0,59162000.0,104099000.0
Non Current Deferred Taxes Assets,78680000.0,59162000.0,104099000.0
Non Current Note Receivables,,,350000.0
Non Current Accounts Receivable,70114000.0,103868000.0,37607000.0
Goodwill And Other Intangible Assets,45568000.0,59971000.0,70600000.0
Other Intangible Assets,31106000.0,45509000.0,56138000.0
Goodwill,14462000.0,14462000.0,14462000.0
Net PPE,3636329000.0,3074424000.0,2872345000.0
Accumulated Depreciation,-1468123000.0,-1295891000.0,-1149792000.0
Gross PPE,5104452000.0,4370315000.0,4022137000.0
Leases,146467000.0,139611000.0,41459000.0
Construction In Progress,1121938000.0,461708000.0,419766000.0
Other Properties,104778000.0,489204000.0,524731000.0
Machinery Furniture Equipment,2802961000.0,2568144000.0,2327921000.0
Buildings And Improvements,893049000.0,693289000.0,693762000.0
Land And Improvements,35259000.0,18359000.0,14498000.0
Properties,0.0,0.0,0.0
Current Assets,3791421000.0,3191243000.0,3014535000.0
Other Current Assets,18384000.0,14129000.0,15094000.0
Hedging Assets Current,2018000.0,5816000.0,3315000.0
Assets Held For Sale Current,,0.0,155685000.0
Restricted Cash,3175000.0,1532000.0,1745000.0
Prepaid Assets,51576000.0,69611000.0,97051000.0
Inventory,783296000.0,819403000.0,702121000.0
Other Inventories,621376000.0,666299000.0,567587000.0
Raw Materials,161920000.0,153104000.0,134534000.0
Receivables,354991000.0,454709000.0,292456000.0
Other Receivables,30654000.0,25273000.0,26370000.0
Taxes Receivable,,,1827000.0
Notes Receivable,,,0.0
Accounts Receivable,324337000.0,429436000.0,266086000.0
Allowance For Doubtful Accounts Receivable,-1042000.0,-664000.0,-3009000.0
Gross Accounts Receivable,325379000.0,430100000.0,269095000.0
Cash Cash Equivalents And Short Term Investments,2577981000.0,1826043000.0,1747068000.0
Other Short Term Investments,1096712000.0,375389000.0,520066000.0
Cash And Cash Equivalents,1481269000.0,1450654000.0,1227002000.0
Cash Equivalents,4324000.0,0.0,2000.0
Cash Financial,1476945000.0,1450654000.0,1227000000.0
