,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,14018000.0,13401000.0,13014000.0
Ordinary Shares Number,174269000.0,173052000.0,170428000.0
Share Issued,188287000.0,186453000.0,183442000.0
Net Debt,130441000.0,409792000.0,405715000.0
Total Debt,558997000.0,574098000.0,691824000.0
Tangible Book Value,405052000.0,231091000.0,403470000.0
Invested Capital,1062709000.0,915495000.0,1042647000.0
Working Capital,200883000.0,560110000.0,260584000.0
Net Tangible Assets,405052000.0,231091000.0,403470000.0
Capital Lease Obligations,51530000.0,40571000.0,53344000.0
Common Stock Equity,555242000.0,381968000.0,404167000.0
Total Capitalization,555550000.0,806025000.0,883057000.0
Total Equity Gross Minority Interest,556045000.0,383603000.0,406486000.0
Minority Interest,803000.0,1635000.0,2319000.0
Stockholders Equity,555242000.0,381968000.0,404167000.0
Gains Losses Not Affecting Retained Earnings,11568000.0,11168000.0,8799000.0
Other Equity Adjustments,11568000.0,11168000.0,8799000.0
Treasury Stock,226646000.0,215240000.0,205476000.0
Retained Earnings,-2085784000.0,-2128633000.0,-2085246000.0
Additional Paid In Capital,2855930000.0,2714500000.0,2685920000.0
Capital Stock,174000.0,173000.0,170000.0
Common Stock,174000.0,173000.0,170000.0
Preferred Stock,0.0,0.0,0.0
Total Liabilities Net Minority Interest,1207581000.0,1175715000.0,1239996000.0
Total Non Current Liabilities Net Minority Interest,155945000.0,662093000.0,710265000.0
Other Non Current Liabilities,26971000.0,26107000.0,37785000.0
Liabilities Heldfor Sale Non Current,0.0,42661000.0,0.0
Employee Benefits,3683000.0,3758000.0,5185000.0
Non Current Pension And Other Postretirement Benefit Plans,3683000.0,3758000.0,5185000.0
Dueto Related Parties Non Current,1458000.0,1458000.0,1458000.0
Tradeand Other Payables Non Current,0.0,866000.0,2234000.0
Non Current Deferred Liabilities,48589000.0,76093000.0,88565000.0
Non Current Deferred Revenue,47452000.0,60259000.0,75097000.0
Non Current Deferred Taxes Liabilities,1137000.0,15834000.0,13468000.0
Long Term Debt And Capital Lease Obligation,37533000.0,452750000.0,522498000.0
Long Term Capital Lease Obligation,37225000.0,28693000.0,43608000.0
Long Term Debt,308000.0,424057000.0,478890000.0
Long Term Provisions,37711000.0,58400000.0,52540000.0
Current Liabilities,1051636000.0,513622000.0,529731000.0
Other Current Liabilities,,86496000.0,
Current Deferred Liabilities,141863000.0,61424000.0,72424000.0
Current Deferred Revenue,141863000.0,61424000.0,72424000.0
Current Debt And Capital Lease Obligation,521464000.0,121348000.0,169326000.0
Current Capital Lease Obligation,14305000.0,11878000.0,9736000.0
Current Debt,507159000.0,109470000.0,159590000.0
Other Current Borrowings,507159000.0,109470000.0,159590000.0
Pensionand Other Post Retirement Benefit Plans Current,36452000.0,15641000.0,23312000.0
Current Provisions,51856000.0,27428000.0,32145000.0
Payables And Accrued Expenses,300001000.0,201285000.0,232524000.0
Current Accrued Expenses,35982000.0,55492000.0,40490000.0
Interest Payable,8549000.0,8005000.0,8796000.0
Payables,264019000.0,145793000.0,192034000.0
Dueto Related Parties Current,11239000.0,0.0,
Total Tax Payable,9641000.0,5571000.0,25968000.0
Accounts Payable,243139000.0,140222000.0,166066000.0
Total Assets,1763626000.0,1559318000.0,1646482000.0
Total Non Current Assets,511107000.0,485586000.0,856167000.0
Other Non Current Assets,33472000.0,89501000.0,69925000.0
Non Current Prepaid Assets,7329000.0,15145000.0,3677000.0
Non Current Deferred Assets,14599000.0,16234000.0,5758000.0
Non Current Accounts Receivable,98001000.0,,
Financial Assets,2293000.0,0.0,
Investments And Advances,50045000.0,100654000.0,624873000.0
Long Term Equity Investment,50045000.0,100654000.0,624873000.0
Goodwill And Other Intangible Assets,150190000.0,150877000.0,697000.0
Other Intangible Assets,24192000.0,24879000.0,697000.0
Goodwill,125998000.0,125998000.0,0.0
Net PPE,155178000.0,113175000.0,151237000.0
Accumulated Depreciation,-68106000.0,-78692000.0,-90777000.0
Gross PPE,223284000.0,191867000.0,242014000.0
Leases,16960000.0,31085000.0,29385000.0
Construction In Progress,5958000.0,4076000.0,3080000.0
Other Properties,90133000.0,88709000.0,151715000.0
Machinery Furniture Equipment,110233000.0,67997000.0,57834000.0
Properties,0.0,0.0,0.0
Current Assets,1252519000.0,1073732000.0,790315000.0
Other Current Assets,34124000.0,25468000.0,52474000.0
Assets Held For Sale Current,0.0,120792000.0,0.0
Current Deferred Assets,159728000.0,69844000.0,51522000.0
Restricted Cash,10668000.0,1408000.0,5518000.0
Prepaid Assets,12059000.0,462000.0,3019000.0
Inventory,295731000.0,214470000.0,210582000.0
Other Inventories,,50889000.0,21322000.0
Finished Goods,136006000.0,130671000.0,170734000.0
Work In Process,,,143000.0
Raw Materials,159725000.0,83799000.0,189260000.0
Receivables,230703000.0,151673000.0,234435000.0
Other Receivables,57070000.0,27815000.0,114506000.0
Duefrom Related Parties Current,3959000.0,3851000.0,9891000.0
Taxes Receivable,,981000.0,1174000.0
Accounts Receivable,169674000.0,120007000.0,108864000.0
Allowance For Doubtful Accounts Receivable,-15059000.0,-14644000.0,-15538000.0
Gross Accounts Receivable,184733000.0,134651000.0,124402000.0
Cash Cash Equivalents And Short Term Investments,509506000.0,489615000.0,232765000.0
Other Short Term Investments,132480000.0,365880000.0,0.0
Cash And Cash Equivalents,377026000.0,123735000.0,232765000.0
