,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Ordinary Shares Number,106844040.0,106830548.0,106825067.0,106609094.0
Share Issued,106844040.0,106830548.0,106825067.0,106609094.0
Total Debt,543318000.0,483297000.0,368214000.0,234131000.0
Tangible Book Value,6207524000.0,5940557000.0,5825789000.0,5790487000.0
Invested Capital,6801825000.0,6477048000.0,6189106000.0,6020404000.0
Working Capital,2624897000.0,2570116000.0,2445691000.0,2753373000.0
Net Tangible Assets,6207524000.0,5940557000.0,5825789000.0,5790487000.0
Capital Lease Obligations,43869000.0,45887000.0,47836000.0,49782000.0
Common Stock Equity,6302376000.0,6039638000.0,5868728000.0,5836055000.0
Total Capitalization,6766416000.0,6477048000.0,6189106000.0,6020404000.0
Total Equity Gross Minority Interest,6302376000.0,6039638000.0,5868728000.0,5836055000.0
Stockholders Equity,6302376000.0,6039638000.0,5868728000.0,5836055000.0
Gains Losses Not Affecting Retained Earnings,-198970000.0,-186051000.0,-179982000.0,-191817000.0
Other Equity Adjustments,-198970000.0,-186051000.0,-179982000.0,-191817000.0
Retained Earnings,3621827000.0,3353429000.0,3182850000.0,3140289000.0
Additional Paid In Capital,2879412000.0,2872153000.0,2865753000.0,2887476000.0
Capital Stock,107000.0,107000.0,107000.0,107000.0
Common Stock,107000.0,107000.0,107000.0,107000.0
Total Liabilities Net Minority Interest,3280269000.0,2957528000.0,2695868000.0,2415173000.0
Total Non Current Liabilities Net Minority Interest,2081164000.0,1866914000.0,1521695000.0,1377125000.0
Other Non Current Liabilities,55537000.0,60247000.0,27320000.0,27292000.0
Non Current Accrued Expenses,130131000.0,132061000.0,153337000.0,151241000.0
Non Current Deferred Liabilities,1397234000.0,1201002000.0,982187000.0,973654000.0
Non Current Deferred Revenue,1349602000.0,1157190000.0,949687000.0,944725000.0
Non Current Deferred Taxes Liabilities,47632000.0,43812000.0,32500000.0,28929000.0
Long Term Debt And Capital Lease Obligation,498262000.0,473604000.0,358851000.0,224938000.0
Long Term Capital Lease Obligation,34222000.0,36194000.0,38473000.0,40589000.0
Long Term Debt,464040000.0,437410000.0,320378000.0,184349000.0
Current Liabilities,1199105000.0,1090614000.0,1174173000.0,1038048000.0
Other Current Liabilities,15283000.0,25577000.0,10088000.0,10867000.0
Current Deferred Liabilities,372167000.0,390231000.0,398694000.0,263215000.0
Current Deferred Revenue,372167000.0,390231000.0,398694000.0,263215000.0
Current Debt And Capital Lease Obligation,45056000.0,9693000.0,9363000.0,9193000.0
Current Capital Lease Obligation,9647000.0,9693000.0,9363000.0,9193000.0
Current Debt,35409000.0,,,
Other Current Borrowings,35409000.0,,,
Pensionand Other Post Retirement Benefit Plans Current,37697000.0,30304000.0,17339000.0,47939000.0
Payables And Accrued Expenses,728902000.0,634809000.0,738689000.0,706834000.0
Current Accrued Expenses,564352000.0,347362000.0,361711000.0,315078000.0
Payables,164550000.0,287447000.0,376978000.0,391756000.0
Total Tax Payable,53755000.0,41613000.0,91218000.0,50347000.0
Income Tax Payable,33583000.0,29067000.0,77176000.0,29397000.0
Accounts Payable,110795000.0,245834000.0,285760000.0,341409000.0
Total Assets,9582645000.0,8997166000.0,8564596000.0,8251228000.0
Total Non Current Assets,5758643000.0,5336436000.0,4944732000.0,4459807000.0
Other Non Current Assets,532669000.0,559966000.0,540418000.0,537856000.0
