,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Treasury Shares Number,14532000.0,14471000.0,14345000.0,14018000.0
Ordinary Shares Number,175302000.0,175173000.0,174901000.0,174269000.0
Share Issued,189834000.0,189644000.0,189246000.0,188287000.0
Net Debt,202947000.0,233890000.0,160964000.0,130441000.0
Total Debt,363471000.0,403468000.0,329865000.0,558997000.0
Tangible Book Value,276785000.0,329758000.0,353632000.0,405052000.0
Invested Capital,729243000.0,824772000.0,779847000.0,1062709000.0
Working Capital,61202000.0,408417000.0,302574000.0,200883000.0
Net Tangible Assets,276785000.0,329758000.0,353632000.0,405052000.0
Capital Lease Obligations,56841000.0,55474000.0,52423000.0,51530000.0
Common Stock Equity,422613000.0,476778000.0,502405000.0,555242000.0
Total Capitalization,422868000.0,782487000.0,658374000.0,555550000.0
Total Equity Gross Minority Interest,423540000.0,477676000.0,503289000.0,556045000.0
Minority Interest,927000.0,898000.0,884000.0,803000.0
Stockholders Equity,422613000.0,476778000.0,502405000.0,555242000.0
Gains Losses Not Affecting Retained Earnings,11569000.0,11586000.0,11573000.0,11568000.0
Other Equity Adjustments,11569000.0,11586000.0,11573000.0,11568000.0
Treasury Stock,233626000.0,232940000.0,231717000.0,226646000.0
Retained Earnings,-2208992000.0,-2149927000.0,-2116859000.0,-2085784000.0
Additional Paid In Capital,2853487000.0,2847884000.0,2839233000.0,2855930000.0
Capital Stock,175000.0,175000.0,175000.0,174000.0
Common Stock,175000.0,175000.0,175000.0,174000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,1023792000.0,1096101000.0,989122000.0,1207581000.0
Total Non Current Liabilities Net Minority Interest,157794000.0,458311000.0,305418000.0,155945000.0
Other Non Current Liabilities,31924000.0,31014000.0,31702000.0,26971000.0
Liabilities Heldfor Sale Non Current,,,,0.0
Employee Benefits,,,,3683000.0
Non Current Pension And Other Postretirement Benefit Plans,,,,3683000.0
Dueto Related Parties Non Current,1458000.0,1458000.0,1458000.0,1458000.0
Tradeand Other Payables Non Current,0.0,0.0,0.0,0.0
Non Current Deferred Liabilities,43402000.0,44666000.0,46054000.0,48589000.0
Non Current Deferred Revenue,43402000.0,44666000.0,46054000.0,47452000.0
Non Current Deferred Taxes Liabilities,,,,1137000.0
Long Term Debt And Capital Lease Obligation,40292000.0,344958000.0,193381000.0,37533000.0
Long Term Capital Lease Obligation,40037000.0,39249000.0,37412000.0,37225000.0
Long Term Debt,255000.0,305709000.0,155969000.0,308000.0
Long Term Provisions,40718000.0,36215000.0,32823000.0,37711000.0
Current Liabilities,865998000.0,637790000.0,683704000.0,1051636000.0
Other Current Liabilities,,,2425000.0,
Current Deferred Liabilities,231591000.0,223302000.0,161289000.0,141863000.0
Current Deferred Revenue,231591000.0,223302000.0,161289000.0,141863000.0
Current Debt And Capital Lease Obligation,323179000.0,58510000.0,136484000.0,521464000.0
Current Capital Lease Obligation,16804000.0,16225000.0,15011000.0,14305000.0
Current Debt,306375000.0,42285000.0,121473000.0,507159000.0
Other Current Borrowings,306375000.0,42285000.0,121473000.0,507159000.0
Line Of Credit,,0.0,,
Pensionand Other Post Retirement Benefit Plans Current,22415000.0,18959000.0,30467000.0,36452000.0
Current Provisions,52212000.0,56169000.0,51509000.0,51856000.0
Payables And Accrued Expenses,236601000.0,280850000.0,301530000.0,300001000.0
Current Accrued Expenses,32670000.0,36923000.0,29869000.0,35982000.0
Interest Payable,734000.0,595000.0,351000.0,8549000.0
Payables,203931000.0,243927000.0,271661000.0,264019000.0
Dueto Related Parties Current,7959000.0,7887000.0,38888000.0,11239000.0
Total Tax Payable,9429000.0,7032000.0,7630000.0,9641000.0
Accounts Payable,186543000.0,229008000.0,225143000.0,243139000.0
Total Assets,1447332000.0,1573777000.0,1492411000.0,1763626000.0
Total Non Current Assets,520132000.0,527569000.0,506133000.0,511107000.0
Other Non Current Assets,22765000.0,34647000.0,35789000.0,33472000.0
Non Current Prepaid Assets,6549000.0,6550000.0,6550000.0,7329000.0
Non Current Deferred Assets,5596000.0,99737000.0,104578000.0,14599000.0
Non Current Note Receivables,811000.0,1205000.0,,
Non Current Accounts Receivable,88026000.0,,,98001000.0
Financial Assets,3712000.0,2507000.0,0.0,2293000.0
Investments And Advances,69397000.0,65202000.0,51256000.0,50045000.0
Long Term Equity Investment,69397000.0,65202000.0,51256000.0,50045000.0
Goodwill And Other Intangible Assets,145828000.0,147020000.0,148773000.0,150190000.0
Other Intangible Assets,19830000.0,20682000.0,22435000.0,24192000.0
Goodwill,125998000.0,126338000.0,126338000.0,125998000.0
Net PPE,177448000.0,170701000.0,159187000.0,155178000.0
Accumulated Depreciation,-73064000.0,-83472000.0,-73683000.0,-68106000.0
Gross PPE,250512000.0,254173000.0,232870000.0,223284000.0
Leases,17137000.0,17368000.0,14342000.0,16960000.0
Construction In Progress,9187000.0,7590000.0,10769000.0,5958000.0
Other Properties,86061000.0,87890000.0,89278000.0,90133000.0
Machinery Furniture Equipment,138127000.0,141325000.0,118481000.0,110233000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,927200000.0,1046207000.0,986278000.0,1252519000.0
Other Current Assets,32980000.0,,,34124000.0
Hedging Assets Current,,80000.0,1384000.0,
Assets Held For Sale Current,,,,0.0
Current Deferred Assets,193079000.0,218084000.0,206568000.0,159728000.0
Restricted Cash,2728000.0,1233000.0,9634000.0,10668000.0
Prepaid Assets,6487000.0,1895000.0,12508000.0,12059000.0
Inventory,324484000.0,424040000.0,381847000.0,295731000.0
Other Inventories,101716000.0,,,
Finished Goods,,244068000.0,206083000.0,136006000.0
Raw Materials,222768000.0,179972000.0,175764000.0,159725000.0
Receivables,263759000.0,286771000.0,257859000.0,230703000.0
Other Receivables,37128000.0,49357000.0,58610000.0,57070000.0
Duefrom Related Parties Current,7499000.0,10119000.0,5018000.0,3959000.0
Loans Receivable,15443000.0,12917000.0,,
Accounts Receivable,203689000.0,214378000.0,194231000.0,169674000.0
Allowance For Doubtful Accounts Receivable,-14059000.0,-14037000.0,-13905000.0,-15059000.0
Gross Accounts Receivable,217748000.0,228415000.0,208136000.0,184733000.0
Cash Cash Equivalents And Short Term Investments,103683000.0,114104000.0,116478000.0,509506000.0
Other Short Term Investments,0.0,0.0,0.0,132480000.0
