,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,49790370.0,25214929.0,-2940300.0
Tax Rate For Calcs,0.21,0.181,0.27
Normalized EBITDA,53450000.0,705860000.0,561041000.0
Total Unusual Items,237097000.0,139309000.0,-10890000.0
Total Unusual Items Excluding Goodwill,237097000.0,139309000.0,-10890000.0
Net Income From Continuing Operation Net Minority Interest,-44166000.0,468693000.0,398355000.0
Reconciled Depreciation,269724000.0,259900000.0,232925000.0
Reconciled Cost Of Revenue,2549461000.0,2193423000.0,2030659000.0
EBITDA,290547000.0,845169000.0,550151000.0
EBIT,20823000.0,585269000.0,317226000.0
Net Interest Income,21059000.0,-6928000.0,-7477000.0
Interest Expense,12225000.0,13107000.0,24036000.0
Interest Income,33284000.0,6179000.0,16559000.0
Normalized Income,-231472630.0,354598929.0,406304700.0
Net Income From Continuing And Discontinued Operation,-44166000.0,468693000.0,398355000.0
Total Expenses,2900066000.0,2483910000.0,2387843000.0
Total Operating Income As Reported,-27236000.0,586751000.0,317489000.0
Diluted Average Shares,106551000.0,106924000.0,106686000.0
Basic Average Shares,106551000.0,106263000.0,105867000.0
Diluted EPS,-0.41,4.38,3.73
Basic EPS,-0.41,4.41,3.76
Diluted NI Availto Com Stockholders,-44166000.0,468693000.0,398355000.0
Net Income Common Stockholders,-44166000.0,468693000.0,398355000.0
Net Income,-44166000.0,468693000.0,398355000.0
Net Income Including Noncontrolling Interests,-44166000.0,468693000.0,398355000.0
Net Income Continuous Operations,-44166000.0,468693000.0,398355000.0
Earnings From Equity Interest Net Of Tax,0.0,0.0,-2129000.0
Tax Provision,52764000.0,103469000.0,-107294000.0
Pretax Income,8598000.0,572162000.0,293190000.0
Other Income Expense,268286000.0,139623000.0,-22822000.0
Other Non Operating Income Expenses,31189000.0,314000.0,-11932000.0
Special Income Charges,253511000.0,147284000.0,-6000000.0
Gain On Sale Of Business,253511000.0,147284000.0,0.0
Other Special Charges,,,6000000.0
Gain On Sale Of Security,-16414000.0,-7975000.0,-4890000.0
Net Non Operating Interest Income Expense,21059000.0,-6928000.0,-7477000.0
Interest Expense Non Operating,12225000.0,13107000.0,24036000.0
Interest Income Non Operating,33284000.0,6179000.0,16559000.0
Operating Income,-280747000.0,439467000.0,323489000.0
Operating Expense,350605000.0,290487000.0,357184000.0
Other Operating Expenses,73077000.0,21052000.0,40528000.0
Research And Development,112804000.0,99115000.0,93738000.0
Selling General And Administration,164724000.0,170320000.0,222918000.0
Gross Profit,69858000.0,729954000.0,680673000.0
Cost Of Revenue,2549461000.0,2193423000.0,2030659000.0
Total Revenue,2619319000.0,2923377000.0,2711332000.0
Operating Revenue,2619319000.0,2923377000.0,2711332000.0
