,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,665490.0,-1255296.0,4125384.0
Tax Rate For Calcs,0.21,0.096,0.142
Normalized EBITDA,233616000.0,248509000.0,174520000.0
Total Unusual Items,3169000.0,-13076000.0,29052000.0
Total Unusual Items Excluding Goodwill,3169000.0,-13076000.0,29052000.0
Net Income From Continuing Operation Net Minority Interest,93779000.0,169170000.0,140322000.0
Reconciled Depreciation,49676000.0,39535000.0,31834000.0
Reconciled Cost Of Revenue,2265631000.0,1334547000.0,997912000.0
EBITDA,236785000.0,235433000.0,203572000.0
EBIT,187109000.0,195898000.0,171738000.0
Net Interest Income,147000.0,-6839000.0,-7947000.0
Interest Expense,9954000.0,8674000.0,8072000.0
Interest Income,11953000.0,3156000.0,3817000.0
Normalized Income,91275490.0,180990704.0,115395384.0
Net Income From Continuing And Discontinued Operation,93779000.0,169170000.0,140322000.0
Total Expenses,2944159000.0,1756726000.0,1316710000.0
Total Operating Income As Reported,166120000.0,207139000.0,142561000.0
Diluted Average Shares,58100649.0,55971030.0,52795476.0
Basic Average Shares,55087770.0,52202182.0,50217330.0
Diluted EPS,1.65,3.06,2.66
Basic EPS,1.7,3.24,2.79
Diluted NI Availto Com Stockholders,95982000.0,171304000.0,140322000.0
Average Dilution Earnings,2203000.0,2134000.0,0.0
Net Income Common Stockholders,93779000.0,169170000.0,140322000.0
Net Income,93779000.0,169170000.0,140322000.0
Minority Interests,,0.0,0.0
Net Income Including Noncontrolling Interests,93779000.0,169170000.0,140322000.0
Net Income Continuous Operations,93779000.0,169170000.0,140322000.0
Tax Provision,83376000.0,18054000.0,23344000.0
Pretax Income,177155000.0,187224000.0,163666000.0
Other Income Expense,10888000.0,-13076000.0,29052000.0
Other Non Operating Income Expenses,7719000.0,859000.0,4900000.0
Special Income Charges,,-2209000.0,-1471000.0
Gain On Sale Of Business,,0.0,0.0
Impairment Of Capital Assets,,2209000.0,1471000.0
Gain On Sale Of Security,3169000.0,-13076000.0,29052000.0
Net Non Operating Interest Income Expense,147000.0,-6839000.0,-7947000.0
Total Other Finance Cost,1852000.0,1321000.0,3692000.0
Interest Expense Non Operating,9954000.0,8674000.0,8072000.0
Interest Income Non Operating,11953000.0,3156000.0,3817000.0
Operating Income,166120000.0,207139000.0,142561000.0
Operating Expense,678528000.0,422179000.0,318798000.0
Other Operating Expenses,116538000.0,1350000.0,-3429000.0
Research And Development,289814000.0,219633000.0,163123000.0
Selling General And Administration,272176000.0,201196000.0,159104000.0
Selling And Marketing Expense,159680000.0,119000000.0,95985000.0
General And Administrative Expense,112496000.0,82196000.0,63119000.0
Other Gand A,112496000.0,82196000.0,63119000.0
Salaries And Wages,,0.0,0.0
Gross Profit,844648000.0,629318000.0,461359000.0
Cost Of Revenue,2265631000.0,1334547000.0,997912000.0
Total Revenue,3110279000.0,1963865000.0,1459271000.0
Operating Revenue,3110279000.0,1963865000.0,1459271000.0
