,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-65730.0,1117200.0,1233229.116
Tax Rate For Calcs,0.21,0.21,0.088435
Normalized EBITDA,139878000.0,34500000.0,717176000.0
Total Unusual Items,-313000.0,5320000.0,13945000.0
Total Unusual Items Excluding Goodwill,-313000.0,5320000.0,13945000.0
Net Income From Continuing Operation Net Minority Interest,93938000.0,-2705000.0,596983000.0
Reconciled Depreciation,30291000.0,11863000.0,48660000.0
Reconciled Cost Of Revenue,1338942000.0,876306000.0,715019000.0
EBITDA,139565000.0,39820000.0,731121000.0
EBIT,109274000.0,27957000.0,682461000.0
Net Interest Income,-18365000.0,-23864000.0,-27930000.0
Interest Expense,21565000.0,24032000.0,28683000.0
Interest Income,3200000.0,168000.0,753000.0
Normalized Income,94185270.0,-6907800.0,584271229.116
Net Income From Continuing And Discontinued Operation,42849000.0,-46703000.0,472844000.0
Total Expenses,1750961000.0,1128221000.0,888061000.0
Rent Expense Supplemental,,12055000.0,4795000.0
Total Operating Income As Reported,-9331000.0,5457000.0,-10627000.0
Diluted Average Shares,174603000.0,175116000.0,197242000.0
Basic Average Shares,173919000.0,172436000.0,169801000.0
Diluted EPS,0.25,-0.27,2.47
Basic EPS,0.25,-0.27,2.79
Diluted NI Availto Com Stockholders,42849000.0,-46703000.0,472844000.0
Net Income Common Stockholders,42849000.0,-46703000.0,472844000.0
Net Income,42849000.0,-46703000.0,472844000.0
Minority Interests,-4426000.0,684000.0,1022000.0
Net Income Including Noncontrolling Interests,47275000.0,-47387000.0,471822000.0
Net Income Discontinuous Operations,-51089000.0,-43998000.0,-124139000.0
Net Income Continuous Operations,98364000.0,-3389000.0,595961000.0
Earnings From Equity Interest Net Of Tax,2272000.0,0.0,0.0
Tax Provision,-8383000.0,7314000.0,57817000.0
Pretax Income,87709000.0,3925000.0,653778000.0
Other Income Expense,115092000.0,27652000.0,706280000.0
Other Non Operating Income Expenses,115405000.0,22332000.0,692335000.0
Special Income Charges,-313000.0,5026000.0,13990000.0
Gain On Sale Of Business,0.0,5290000.0,10334000.0
Restructuring And Mergern Acquisition,313000.0,264000.0,-3656000.0
Gain On Sale Of Security,,294000.0,-45000.0
Net Non Operating Interest Income Expense,-18365000.0,-23864000.0,-27930000.0
Interest Expense Non Operating,21565000.0,24032000.0,28683000.0
Interest Income Non Operating,3200000.0,168000.0,753000.0
Operating Income,-9018000.0,137000.0,-24572000.0
Operating Expense,412019000.0,251915000.0,173042000.0
Other Operating Expenses,69000.0,-4255000.0,-6260000.0
Research And Development,24759000.0,15811000.0,19222000.0
Selling General And Administration,387260000.0,236104000.0,153820000.0
General And Administrative Expense,,,164703000.0
Other Gand A,,,164703000.0
Gross Profit,403001000.0,252052000.0,148470000.0
Cost Of Revenue,1338942000.0,876306000.0,715019000.0
Total Revenue,1741943000.0,1128358000.0,863489000.0
Operating Revenue,1741943000.0,1128358000.0,863489000.0
