,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,-58976.0,-3810165.0,-1252440.0,-868140.0
Tax Rate For Calcs,0.076,0.095,0.21,0.21
Normalized EBITDA,372718000.0,301698000.0,111240000.0,71236000.0
Total Unusual Items,-776000.0,-40107000.0,-5964000.0,-4134000.0
Total Unusual Items Excluding Goodwill,-776000.0,-40107000.0,-5964000.0,-4134000.0
Net Income From Continuing Operation Net Minority Interest,268398000.0,170579000.0,42561000.0,-7548000.0
Reconciled Depreciation,77743000.0,71705000.0,68855000.0,70541000.0
Reconciled Cost Of Revenue,424915000.0,500253000.0,436235000.0,941778000.0
EBITDA,371942000.0,261591000.0,105276000.0,67102000.0
EBIT,294199000.0,189886000.0,36421000.0,-3439000.0
Net Interest Income,19520000.0,23611000.0,25074000.0,15197000.0
Interest Expense,3734000.0,1415000.0,748000.0,3133000.0
Interest Income,23254000.0,25026000.0,25822000.0,18330000.0
Normalized Income,269115024.0,206875835.0,47272560.0,-4282140.0
Net Income From Continuing And Discontinued Operation,268398000.0,170579000.0,42561000.0,-7548000.0
Total Expenses,528336000.0,606703000.0,530267000.0,1048536000.0
Total Operating Income As Reported,272965000.0,168515000.0,18002000.0,-45906000.0
Diluted Average Shares,107498000.0,107278000.0,107154000.0,106606000.0
Basic Average Shares,106834000.0,106827000.0,106675000.0,106606000.0
Diluted EPS,2.5,1.59,0.4,-0.07
Basic EPS,2.51,1.6,0.4,-0.07
Diluted NI Availto Com Stockholders,268398000.0,170579000.0,42561000.0,-7548000.0
Net Income Common Stockholders,268398000.0,170579000.0,42561000.0,-7548000.0
Net Income,268398000.0,170579000.0,42561000.0,-7548000.0
Net Income Including Noncontrolling Interests,268398000.0,170579000.0,42561000.0,-7548000.0
Net Income Continuous Operations,268398000.0,170579000.0,42561000.0,-7548000.0
Tax Provision,22067000.0,17892000.0,-6888000.0,976000.0
Pretax Income,290465000.0,188471000.0,35673000.0,-6572000.0
Other Income Expense,-1809000.0,-39110000.0,-7420000.0,24376000.0
Other Non Operating Income Expenses,-1033000.0,997000.0,-1456000.0,28510000.0
Special Income Charges,211000.0,-35455000.0,-17000.0,239000.0
Gain On Sale Of Business,211000.0,135000.0,-17000.0,239000.0
Other Special Charges,,35590000.0,,
Gain On Sale Of Security,-987000.0,-4652000.0,-5947000.0,-4373000.0
Net Non Operating Interest Income Expense,19520000.0,23611000.0,25074000.0,15197000.0
Interest Expense Non Operating,3734000.0,1415000.0,748000.0,3133000.0
Interest Income Non Operating,23254000.0,25026000.0,25822000.0,18330000.0
Operating Income,272754000.0,203970000.0,18019000.0,-46145000.0
Operating Expense,103421000.0,106450000.0,94032000.0,106758000.0
Other Operating Expenses,12059000.0,23377000.0,19494000.0,32740000.0
Research And Development,41190000.0,36745000.0,30510000.0,31284000.0
Selling General And Administration,50172000.0,46328000.0,44028000.0,42734000.0
Gross Profit,376175000.0,310420000.0,112051000.0,60613000.0
Cost Of Revenue,424915000.0,500253000.0,436235000.0,941778000.0
Total Revenue,801090000.0,810673000.0,548286000.0,1002391000.0
Operating Revenue,801090000.0,810673000.0,548286000.0,1002391000.0
