,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,-20766.040365,0.0,0.0,0.0
Tax Rate For Calcs,0.003536,0.21,0.21,0.21
Normalized EBITDA,-11431000.0,-9600000.0,-30186000.0,21243000.0
Total Unusual Items,-5873000.0,0.0,0.0,0.0
Total Unusual Items Excluding Goodwill,-5873000.0,0.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,-35648000.0,-28489000.0,-47354000.0,7613000.0
Reconciled Depreciation,13782000.0,12943000.0,10269000.0,9504000.0
Reconciled Cost Of Revenue,358181000.0,389431000.0,353229000.0,392664000.0
EBITDA,-17304000.0,-9600000.0,-30186000.0,21243000.0
EBIT,-31086000.0,-22543000.0,-40455000.0,11739000.0
Net Interest Income,-6564000.0,-5457000.0,-4847000.0,-3420000.0
Interest Expense,7660000.0,5786000.0,5678000.0,6342000.0
Interest Income,1096000.0,329000.0,831000.0,2922000.0
Normalized Income,-29795766.040365,-28489000.0,-47354000.0,7613000.0
Net Income From Continuing And Discontinued Operation,-37364000.0,-31208000.0,-54636000.0,7613000.0
Total Expenses,457102000.0,486521000.0,464570000.0,481740000.0
Total Operating Income As Reported,-32285000.0,-23161000.0,-30303000.0,15572000.0
Diluted Average Shares,175241000.0,175042000.0,174528000.0,175518000.0
Basic Average Shares,175241000.0,175042000.0,174528000.0,174231000.0
Diluted EPS,-0.21,-0.18,-0.31,0.04
Basic EPS,-0.21,-0.18,-0.31,0.04
Diluted NI Availto Com Stockholders,-37364000.0,-31208000.0,-54636000.0,-47786000.0
Net Income Common Stockholders,-37364000.0,-31208000.0,-54636000.0,7613000.0
Net Income,-37364000.0,-31208000.0,-54636000.0,7613000.0
Minority Interests,-29000.0,-14000.0,-81000.0,-1005000.0
Net Income Including Noncontrolling Interests,-37335000.0,-31194000.0,-54555000.0,8618000.0
Net Income Discontinuous Operations,-1716000.0,-2719000.0,-7282000.0,0.0
Net Income Continuous Operations,-35619000.0,-28475000.0,-47273000.0,8618000.0
Earnings From Equity Interest Net Of Tax,2990000.0,232000.0,188000.0,365000.0
Tax Provision,-137000.0,378000.0,1328000.0,-2856000.0
Pretax Income,-38746000.0,-28329000.0,-46133000.0,5397000.0
Other Income Expense,-5770000.0,289000.0,-10983000.0,-6755000.0
Other Non Operating Income Expenses,103000.0,289000.0,-10983000.0,-6755000.0
Special Income Charges,-5873000.0,0.0,0.0,0.0
Gain On Sale Of Business,,,,0.0
Restructuring And Mergern Acquisition,5873000.0,0.0,0.0,0.0
Net Non Operating Interest Income Expense,-6564000.0,-5457000.0,-4847000.0,-3420000.0
Interest Expense Non Operating,7660000.0,5786000.0,5678000.0,6342000.0
Interest Income Non Operating,1096000.0,329000.0,831000.0,2922000.0
Operating Income,-26412000.0,-23161000.0,-30303000.0,15572000.0
Operating Expense,98921000.0,97090000.0,111341000.0,89076000.0
Other Operating Expenses,170000.0,84000.0,-224000.0,1356000.0
Research And Development,5406000.0,6508000.0,7247000.0,5560000.0
Selling General And Administration,93345000.0,90498000.0,104318000.0,82160000.0
Gross Profit,72509000.0,73929000.0,81038000.0,104648000.0
Cost Of Revenue,358181000.0,389431000.0,353229000.0,392664000.0
Total Revenue,430690000.0,463360000.0,434267000.0,497312000.0
Operating Revenue,430690000.0,463360000.0,434267000.0,497312000.0
