Date,FEDFUNDS
1.1.2017,0.65
1.2.2017,0.66
1.3.2017,0.79
1.4.2017,0.9
1.5.2017,0.91
1.6.2017,1.04
1.7.2017,1.15
1.8.2017,1.16
1.9.2017,1.15
1.10.2017,1.15
1.11.2017,1.16
1.12.2017,1.3
1.1.2018,1.41
1.2.2018,1.42
1.3.2018,1.51
1.4.2018,1.69
1.5.2018,1.7
1.6.2018,1.82
1.7.2018,1.91
1.8.2018,1.91
1.9.2018,1.95
1.10.2018,2.19
1.11.2018,2.2
1.12.2018,2.27
1.1.2019,2.4
1.2.2019,2.4
1.3.2019,2.41
1.4.2019,2.42
1.5.2019,2.39
1.6.2019,2.38
1.7.2019,2.4
1.8.2019,2.13
1.9.2019,2.04
1.10.2019,1.83
1.11.2019,1.55
1.12.2019,1.55
1.1.2020,1.55
1.2.2020,1.58
1.3.2020,0.65
1.4.2020,0.05
1.5.2020,0.05
1.6.2020,0.08
1.7.2020,0.09
1.8.2020,0.1
1.9.2020,0.09
1.10.2020,0.09
1.11.2020,0.09
1.12.2020,0.09
1.1.2021,0.09
1.2.2021,0.08
1.3.2021,0.07
1.4.2021,0.07
1.5.2021,0.06
1.6.2021,0.08
1.7.2021,0.1
1.8.2021,0.09
1.9.2021,0.08
1.10.2021,0.08
1.11.2021,0.08
1.12.2021,0.08
1.1.2022,0.08
1.2.2022,0.08
1.3.2022,0.2
1.4.2022,0.33
1.5.2022,0.77
1.6.2022,1.21
1.7.2022,1.68
1.8.2022,2.33
1.9.2022,2.56
1.10.2022,3.08
1.11.2022,3.78
1.12.2022,4.1
1.1.2023,4.33
1.2.2023,4.57
1.3.2023,4.65
1.4.2023,4.83
1.5.2023,5.06
1.6.2023,5.08
1.7.2023,5.12
1.8.2023,5.33
1.9.2023,5.33
1.10.2023,5.33
1.11.2023,5.33
1.12.2023,5.33
1.1.2024,5.33
1.2.2024,5.33
