MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,Country 
01.01.2017 00:00 - 01.01.2017 01:00,53,EUR,Italy
01.01.2017 01:00 - 01.01.2017 02:00,52,EUR,Italy
01.01.2017 02:00 - 01.01.2017 03:00,51,EUR,Italy
01.01.2017 03:00 - 01.01.2017 04:00,47.27,EUR,Italy
01.01.2017 04:00 - 01.01.2017 05:00,45.49,EUR,Italy
01.01.2017 05:00 - 01.01.2017 06:00,45.69,EUR,Italy
01.01.2017 06:00 - 01.01.2017 07:00,48.07,EUR,Italy
01.01.2017 07:00 - 01.01.2017 08:00,45.67,EUR,Italy
01.01.2017 08:00 - 01.01.2017 09:00,45.48,EUR,Italy
01.01.2017 09:00 - 01.01.2017 10:00,42.06,EUR,Italy
01.01.2017 10:00 - 01.01.2017 11:00,46.86,EUR,Italy
01.01.2017 11:00 - 01.01.2017 12:00,48.02,EUR,Italy
01.01.2017 12:00 - 01.01.2017 13:00,49.57,EUR,Italy
01.01.2017 13:00 - 01.01.2017 14:00,48.69,EUR,Italy
01.01.2017 14:00 - 01.01.2017 15:00,46.91,EUR,Italy
01.01.2017 15:00 - 01.01.2017 16:00,49.43,EUR,Italy
01.01.2017 16:00 - 01.01.2017 17:00,50.45,EUR,Italy
01.01.2017 17:00 - 01.01.2017 18:00,53.3,EUR,Italy
01.01.2017 18:00 - 01.01.2017 19:00,59.07,EUR,Italy
01.01.2017 19:00 - 01.01.2017 20:00,61.71,EUR,Italy
01.01.2017 20:00 - 01.01.2017 21:00,56.26,EUR,Italy
01.01.2017 21:00 - 01.01.2017 22:00,55,EUR,Italy
01.01.2017 22:00 - 01.01.2017 23:00,54,EUR,Italy
01.01.2017 23:00 - 02.01.2017 00:00,52,EUR,Italy
02.01.2017 00:00 - 02.01.2017 01:00,53,EUR,Italy
02.01.2017 01:00 - 02.01.2017 02:00,50.18,EUR,Italy
02.01.2017 02:00 - 02.01.2017 03:00,49.11,EUR,Italy
02.01.2017 03:00 - 02.01.2017 04:00,48.15,EUR,Italy
02.01.2017 04:00 - 02.01.2017 05:00,48.41,EUR,Italy
02.01.2017 05:00 - 02.01.2017 06:00,48.15,EUR,Italy
02.01.2017 06:00 - 02.01.2017 07:00,52,EUR,Italy
02.01.2017 07:00 - 02.01.2017 08:00,59.07,EUR,Italy
02.01.2017 08:00 - 02.01.2017 09:00,64.15,EUR,Italy
02.01.2017 09:00 - 02.01.2017 10:00,62.5,EUR,Italy
02.01.2017 10:00 - 02.01.2017 11:00,60,EUR,Italy
02.01.2017 11:00 - 02.01.2017 12:00,54,EUR,Italy
02.01.2017 12:00 - 02.01.2017 13:00,53,EUR,Italy
02.01.2017 13:00 - 02.01.2017 14:00,53,EUR,Italy
02.01.2017 14:00 - 02.01.2017 15:00,54,EUR,Italy
02.01.2017 15:00 - 02.01.2017 16:00,55,EUR,Italy
02.01.2017 16:00 - 02.01.2017 17:00,60.96,EUR,Italy
02.01.2017 17:00 - 02.01.2017 18:00,73.55,EUR,Italy
02.01.2017 18:00 - 02.01.2017 19:00,77.42,EUR,Italy
02.01.2017 19:00 - 02.01.2017 20:00,75,EUR,Italy
02.01.2017 20:00 - 02.01.2017 21:00,70.11,EUR,Italy
02.01.2017 21:00 - 02.01.2017 22:00,59.69,EUR,Italy
02.01.2017 22:00 - 02.01.2017 23:00,54,EUR,Italy
02.01.2017 23:00 - 03.01.2017 00:00,52,EUR,Italy
03.01.2017 00:00 - 03.01.2017 01:00,50.56,EUR,Italy
03.01.2017 01:00 - 03.01.2017 02:00,47.09,EUR,Italy
03.01.2017 02:00 - 03.01.2017 03:00,44.43,EUR,Italy
03.01.2017 03:00 - 03.01.2017 04:00,44.15,EUR,Italy
03.01.2017 04:00 - 03.01.2017 05:00,44.15,EUR,Italy
03.01.2017 05:00 - 03.01.2017 06:00,45,EUR,Italy
03.01.2017 06:00 - 03.01.2017 07:00,49.15,EUR,Italy
03.01.2017 07:00 - 03.01.2017 08:00,54,EUR,Italy
03.01.2017 08:00 - 03.01.2017 09:00,54,EUR,Italy
03.01.2017 09:00 - 03.01.2017 10:00,54,EUR,Italy
03.01.2017 10:00 - 03.01.2017 11:00,53,EUR,Italy
03.01.2017 11:00 - 03.01.2017 12:00,51.83,EUR,Italy
03.01.2017 12:00 - 03.01.2017 13:00,51.83,EUR,Italy
03.01.2017 13:00 - 03.01.2017 14:00,52,EUR,Italy
03.01.2017 14:00 - 03.01.2017 15:00,54,EUR,Italy
03.01.2017 15:00 - 03.01.2017 16:00,54,EUR,Italy
03.01.2017 16:00 - 03.01.2017 17:00,55,EUR,Italy
03.01.2017 17:00 - 03.01.2017 18:00,67.01,EUR,Italy
03.01.2017 18:00 - 03.01.2017 19:00,61.99,EUR,Italy
03.01.2017 19:00 - 03.01.2017 20:00,58.5,EUR,Italy
03.01.2017 20:00 - 03.01.2017 21:00,60,EUR,Italy
03.01.2017 21:00 - 03.01.2017 22:00,59.47,EUR,Italy
03.01.2017 22:00 - 03.01.2017 23:00,54,EUR,Italy
03.01.2017 23:00 - 04.01.2017 00:00,53,EUR,Italy
04.01.2017 00:00 - 04.01.2017 01:00,53,EUR,Italy
04.01.2017 01:00 - 04.01.2017 02:00,53,EUR,Italy
04.01.2017 02:00 - 04.01.2017 03:00,53,EUR,Italy
04.01.2017 03:00 - 04.01.2017 04:00,52,EUR,Italy
04.01.2017 04:00 - 04.01.2017 05:00,51.36,EUR,Italy
04.01.2017 05:00 - 04.01.2017 06:00,53,EUR,Italy
04.01.2017 06:00 - 04.01.2017 07:00,53,EUR,Italy
04.01.2017 07:00 - 04.01.2017 08:00,55,EUR,Italy
04.01.2017 08:00 - 04.01.2017 09:00,56,EUR,Italy
04.01.2017 09:00 - 04.01.2017 10:00,55,EUR,Italy
04.01.2017 10:00 - 04.01.2017 11:00,54,EUR,Italy
04.01.2017 11:00 - 04.01.2017 12:00,53.01,EUR,Italy
04.01.2017 12:00 - 04.01.2017 13:00,53,EUR,Italy
04.01.2017 13:00 - 04.01.2017 14:00,53,EUR,Italy
04.01.2017 14:00 - 04.01.2017 15:00,53,EUR,Italy
04.01.2017 15:00 - 04.01.2017 16:00,53.01,EUR,Italy
04.01.2017 16:00 - 04.01.2017 17:00,54,EUR,Italy
04.01.2017 17:00 - 04.01.2017 18:00,55,EUR,Italy
04.01.2017 18:00 - 04.01.2017 19:00,56,EUR,Italy
04.01.2017 19:00 - 04.01.2017 20:00,55,EUR,Italy
04.01.2017 20:00 - 04.01.2017 21:00,54,EUR,Italy
04.01.2017 21:00 - 04.01.2017 22:00,53,EUR,Italy
04.01.2017 22:00 - 04.01.2017 23:00,51.23,EUR,Italy
04.01.2017 23:00 - 05.01.2017 00:00,39.89,EUR,Italy
05.01.2017 00:00 - 05.01.2017 01:00,33.64,EUR,Italy
05.01.2017 01:00 - 05.01.2017 02:00,29.99,EUR,Italy
05.01.2017 02:00 - 05.01.2017 03:00,29.97,EUR,Italy
05.01.2017 03:00 - 05.01.2017 04:00,29.97,EUR,Italy
05.01.2017 04:00 - 05.01.2017 05:00,30,EUR,Italy
05.01.2017 05:00 - 05.01.2017 06:00,38,EUR,Italy
05.01.2017 06:00 - 05.01.2017 07:00,39.89,EUR,Italy
05.01.2017 07:00 - 05.01.2017 08:00,52,EUR,Italy
05.01.2017 08:00 - 05.01.2017 09:00,45,EUR,Italy
05.01.2017 09:00 - 05.01.2017 10:00,43.89,EUR,Italy
05.01.2017 10:00 - 05.01.2017 11:00,39.55,EUR,Italy
05.01.2017 11:00 - 05.01.2017 12:00,31.08,EUR,Italy
05.01.2017 12:00 - 05.01.2017 13:00,30.01,EUR,Italy
05.01.2017 13:00 - 05.01.2017 14:00,29.99,EUR,Italy
05.01.2017 14:00 - 05.01.2017 15:00,29.99,EUR,Italy
05.01.2017 15:00 - 05.01.2017 16:00,30.01,EUR,Italy
05.01.2017 16:00 - 05.01.2017 17:00,44.78,EUR,Italy
05.01.2017 17:00 - 05.01.2017 18:00,52.31,EUR,Italy
05.01.2017 18:00 - 05.01.2017 19:00,52.32,EUR,Italy
05.01.2017 19:00 - 05.01.2017 20:00,53,EUR,Italy
05.01.2017 20:00 - 05.01.2017 21:00,53,EUR,Italy
05.01.2017 21:00 - 05.01.2017 22:00,52,EUR,Italy
05.01.2017 22:00 - 05.01.2017 23:00,50.96,EUR,Italy
05.01.2017 23:00 - 06.01.2017 00:00,39.55,EUR,Italy
06.01.2017 00:00 - 06.01.2017 01:00,45.97,EUR,Italy
06.01.2017 01:00 - 06.01.2017 02:00,39.89,EUR,Italy
06.01.2017 02:00 - 06.01.2017 03:00,39.55,EUR,Italy
06.01.2017 03:00 - 06.01.2017 04:00,36.77,EUR,Italy
06.01.2017 04:00 - 06.01.2017 05:00,36.72,EUR,Italy
06.01.2017 05:00 - 06.01.2017 06:00,36.72,EUR,Italy
06.01.2017 06:00 - 06.01.2017 07:00,39.56,EUR,Italy
06.01.2017 07:00 - 06.01.2017 08:00,39.89,EUR,Italy
06.01.2017 08:00 - 06.01.2017 09:00,39.89,EUR,Italy
06.01.2017 09:00 - 06.01.2017 10:00,41,EUR,Italy
06.01.2017 10:00 - 06.01.2017 11:00,39.89,EUR,Italy
06.01.2017 11:00 - 06.01.2017 12:00,39.89,EUR,Italy
06.01.2017 12:00 - 06.01.2017 13:00,39.89,EUR,Italy
06.01.2017 13:00 - 06.01.2017 14:00,39.56,EUR,Italy
06.01.2017 14:00 - 06.01.2017 15:00,39.56,EUR,Italy
06.01.2017 15:00 - 06.01.2017 16:00,39.89,EUR,Italy
06.01.2017 16:00 - 06.01.2017 17:00,52,EUR,Italy
06.01.2017 17:00 - 06.01.2017 18:00,54,EUR,Italy
06.01.2017 18:00 - 06.01.2017 19:00,54,EUR,Italy
06.01.2017 19:00 - 06.01.2017 20:00,54,EUR,Italy
06.01.2017 20:00 - 06.01.2017 21:00,55,EUR,Italy
06.01.2017 21:00 - 06.01.2017 22:00,54,EUR,Italy
06.01.2017 22:00 - 06.01.2017 23:00,53.38,EUR,Italy
06.01.2017 23:00 - 07.01.2017 00:00,52,EUR,Italy
07.01.2017 00:00 - 07.01.2017 01:00,47,EUR,Italy
07.01.2017 01:00 - 07.01.2017 02:00,40.65,EUR,Italy
07.01.2017 02:00 - 07.01.2017 03:00,40.65,EUR,Italy
07.01.2017 03:00 - 07.01.2017 04:00,40.64,EUR,Italy
07.01.2017 04:00 - 07.01.2017 05:00,36.44,EUR,Italy
07.01.2017 05:00 - 07.01.2017 06:00,40.65,EUR,Italy
07.01.2017 06:00 - 07.01.2017 07:00,41,EUR,Italy
07.01.2017 07:00 - 07.01.2017 08:00,53,EUR,Italy
07.01.2017 08:00 - 07.01.2017 09:00,53.36,EUR,Italy
07.01.2017 09:00 - 07.01.2017 10:00,53,EUR,Italy
07.01.2017 10:00 - 07.01.2017 11:00,52,EUR,Italy
07.01.2017 11:00 - 07.01.2017 12:00,48.01,EUR,Italy
07.01.2017 12:00 - 07.01.2017 13:00,43.99,EUR,Italy
07.01.2017 13:00 - 07.01.2017 14:00,43.99,EUR,Italy
07.01.2017 14:00 - 07.01.2017 15:00,49.69,EUR,Italy
07.01.2017 15:00 - 07.01.2017 16:00,53,EUR,Italy
07.01.2017 16:00 - 07.01.2017 17:00,54,EUR,Italy
07.01.2017 17:00 - 07.01.2017 18:00,60,EUR,Italy
