MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,Counry
01.01.2017 00:00 - 01.01.2017 01:00,42,EUR,Netherlands
01.01.2017 01:00 - 01.01.2017 02:00,49.94,EUR,Netherlands
01.01.2017 02:00 - 01.01.2017 03:00,51.95,EUR,Netherlands
01.01.2017 03:00 - 01.01.2017 04:00,40.99,EUR,Netherlands
01.01.2017 04:00 - 01.01.2017 05:00,39,EUR,Netherlands
01.01.2017 05:00 - 01.01.2017 06:00,35.89,EUR,Netherlands
01.01.2017 06:00 - 01.01.2017 07:00,34.99,EUR,Netherlands
01.01.2017 07:00 - 01.01.2017 08:00,29.02,EUR,Netherlands
01.01.2017 08:00 - 01.01.2017 09:00,28.64,EUR,Netherlands
01.01.2017 09:00 - 01.01.2017 10:00,34.94,EUR,Netherlands
01.01.2017 10:00 - 01.01.2017 11:00,39.94,EUR,Netherlands
01.01.2017 11:00 - 01.01.2017 12:00,42.44,EUR,Netherlands
01.01.2017 12:00 - 01.01.2017 13:00,49.57,EUR,Netherlands
01.01.2017 13:00 - 01.01.2017 14:00,48.69,EUR,Netherlands
01.01.2017 14:00 - 01.01.2017 15:00,37.44,EUR,Netherlands
01.01.2017 15:00 - 01.01.2017 16:00,37.3,EUR,Netherlands
01.01.2017 16:00 - 01.01.2017 17:00,44.12,EUR,Netherlands
01.01.2017 17:00 - 01.01.2017 18:00,51.59,EUR,Netherlands
01.01.2017 18:00 - 01.01.2017 19:00,59.07,EUR,Netherlands
01.01.2017 19:00 - 01.01.2017 20:00,55,EUR,Netherlands
01.01.2017 20:00 - 01.01.2017 21:00,52,EUR,Netherlands
01.01.2017 21:00 - 01.01.2017 22:00,52,EUR,Netherlands
01.01.2017 22:00 - 01.01.2017 23:00,52.44,EUR,Netherlands
01.01.2017 23:00 - 02.01.2017 00:00,49.27,EUR,Netherlands
02.01.2017 00:00 - 02.01.2017 01:00,30.54,EUR,Netherlands
02.01.2017 01:00 - 02.01.2017 02:00,30,EUR,Netherlands
02.01.2017 02:00 - 02.01.2017 03:00,33.21,EUR,Netherlands
02.01.2017 03:00 - 02.01.2017 04:00,32.05,EUR,Netherlands
02.01.2017 04:00 - 02.01.2017 05:00,31.28,EUR,Netherlands
02.01.2017 05:00 - 02.01.2017 06:00,31.43,EUR,Netherlands
02.01.2017 06:00 - 02.01.2017 07:00,37.99,EUR,Netherlands
02.01.2017 07:00 - 02.01.2017 08:00,45.2,EUR,Netherlands
02.01.2017 08:00 - 02.01.2017 09:00,46.31,EUR,Netherlands
02.01.2017 09:00 - 02.01.2017 10:00,48.84,EUR,Netherlands
02.01.2017 10:00 - 02.01.2017 11:00,53.32,EUR,Netherlands
02.01.2017 11:00 - 02.01.2017 12:00,54.53,EUR,Netherlands
02.01.2017 12:00 - 02.01.2017 13:00,53.82,EUR,Netherlands
02.01.2017 13:00 - 02.01.2017 14:00,55.67,EUR,Netherlands
02.01.2017 14:00 - 02.01.2017 15:00,55.98,EUR,Netherlands
02.01.2017 15:00 - 02.01.2017 16:00,56,EUR,Netherlands
02.01.2017 16:00 - 02.01.2017 17:00,57.77,EUR,Netherlands
02.01.2017 17:00 - 02.01.2017 18:00,67.66,EUR,Netherlands
02.01.2017 18:00 - 02.01.2017 19:00,55.1,EUR,Netherlands
02.01.2017 19:00 - 02.01.2017 20:00,47.94,EUR,Netherlands
02.01.2017 20:00 - 02.01.2017 21:00,40.99,EUR,Netherlands
02.01.2017 21:00 - 02.01.2017 22:00,40.25,EUR,Netherlands
02.01.2017 22:00 - 02.01.2017 23:00,40.99,EUR,Netherlands
02.01.2017 23:00 - 03.01.2017 00:00,36.84,EUR,Netherlands
03.01.2017 00:00 - 03.01.2017 01:00,36.02,EUR,Netherlands
03.01.2017 01:00 - 03.01.2017 02:00,34.98,EUR,Netherlands
