MTU (CET/CEST),Day-ahead Price [GBP/MWh],Currency,Country
01.01.2017 00:00 - 01.01.2017 01:00,51.52,GBP,UK
01.01.2017 01:00 - 01.01.2017 02:00,51.95,GBP,UK
01.01.2017 02:00 - 01.01.2017 03:00,65,GBP,UK
01.01.2017 03:00 - 01.01.2017 04:00,51.97,GBP,UK
01.01.2017 04:00 - 01.01.2017 05:00,41.92,GBP,UK
01.01.2017 05:00 - 01.01.2017 06:00,38.97,GBP,UK
01.01.2017 06:00 - 01.01.2017 07:00,37.69,GBP,UK
01.01.2017 07:00 - 01.01.2017 08:00,37.38,GBP,UK
01.01.2017 08:00 - 01.01.2017 09:00,28.88,GBP,UK
01.01.2017 09:00 - 01.01.2017 10:00,35.15,GBP,UK
01.01.2017 10:00 - 01.01.2017 11:00,39.19,GBP,UK
01.01.2017 11:00 - 01.01.2017 12:00,44.88,GBP,UK
01.01.2017 12:00 - 01.01.2017 13:00,48.66,GBP,UK
01.01.2017 13:00 - 01.01.2017 14:00,55.01,GBP,UK
01.01.2017 14:00 - 01.01.2017 15:00,60.75,GBP,UK
01.01.2017 15:00 - 01.01.2017 16:00,58,GBP,UK
01.01.2017 16:00 - 01.01.2017 17:00,50,GBP,UK
01.01.2017 17:00 - 01.01.2017 18:00,55,GBP,UK
01.01.2017 18:00 - 01.01.2017 19:00,90,GBP,UK
01.01.2017 19:00 - 01.01.2017 20:00,55,GBP,UK
01.01.2017 20:00 - 01.01.2017 21:00,49.27,GBP,UK
01.01.2017 21:00 - 01.01.2017 22:00,51.8,GBP,UK
01.01.2017 22:00 - 01.01.2017 23:00,49.06,GBP,UK
01.01.2017 23:00 - 02.01.2017 00:00,43.46,GBP,UK
02.01.2017 00:00 - 02.01.2017 01:00,45.96,GBP,UK
02.01.2017 01:00 - 02.01.2017 02:00,43.95,GBP,UK
02.01.2017 02:00 - 02.01.2017 03:00,45,GBP,UK
02.01.2017 03:00 - 02.01.2017 04:00,43.97,GBP,UK
02.01.2017 04:00 - 02.01.2017 05:00,42,GBP,UK
02.01.2017 05:00 - 02.01.2017 06:00,41.14,GBP,UK
02.01.2017 06:00 - 02.01.2017 07:00,43.92,GBP,UK
02.01.2017 07:00 - 02.01.2017 08:00,51.74,GBP,UK
02.01.2017 08:00 - 02.01.2017 09:00,40.85,GBP,UK
02.01.2017 09:00 - 02.01.2017 10:00,43.07,GBP,UK
02.01.2017 10:00 - 02.01.2017 11:00,47.03,GBP,UK
02.01.2017 11:00 - 02.01.2017 12:00,48.1,GBP,UK
02.01.2017 12:00 - 02.01.2017 13:00,47.47,GBP,UK
02.01.2017 13:00 - 02.01.2017 14:00,53.31,GBP,UK
02.01.2017 14:00 - 02.01.2017 15:00,51.14,GBP,UK
02.01.2017 15:00 - 02.01.2017 16:00,49.91,GBP,UK
02.01.2017 16:00 - 02.01.2017 17:00,50.95,GBP,UK
02.01.2017 17:00 - 02.01.2017 18:00,64.42,GBP,UK
02.01.2017 18:00 - 02.01.2017 19:00,90,GBP,UK
02.01.2017 19:00 - 02.01.2017 20:00,66.27,GBP,UK
02.01.2017 20:00 - 02.01.2017 21:00,58.6,GBP,UK
02.01.2017 21:00 - 02.01.2017 22:00,51.16,GBP,UK
02.01.2017 22:00 - 02.01.2017 23:00,50.23,GBP,UK
02.01.2017 23:00 - 03.01.2017 00:00,43.05,GBP,UK
03.01.2017 00:00 - 03.01.2017 01:00,45.54,GBP,UK
03.01.2017 01:00 - 03.01.2017 02:00,46.03,GBP,UK
03.01.2017 02:00 - 03.01.2017 03:00,42.98,GBP,UK
03.01.2017 03:00 - 03.01.2017 04:00,39.27,GBP,UK
03.01.2017 04:00 - 03.01.2017 05:00,37.72,GBP,UK
03.01.2017 05:00 - 03.01.2017 06:00,40.42,GBP,UK
03.01.2017 06:00 - 03.01.2017 07:00,42.8,GBP,UK
03.01.2017 07:00 - 03.01.2017 08:00,50.55,GBP,UK
03.01.2017 08:00 - 03.01.2017 09:00,47.57,GBP,UK
03.01.2017 09:00 - 03.01.2017 10:00,52.1,GBP,UK
03.01.2017 10:00 - 03.01.2017 11:00,56.27,GBP,UK
03.01.2017 11:00 - 03.01.2017 12:00,51.63,GBP,UK
03.01.2017 12:00 - 03.01.2017 13:00,48.18,GBP,UK
03.01.2017 13:00 - 03.01.2017 14:00,47.6,GBP,UK
03.01.2017 14:00 - 03.01.2017 15:00,47.58,GBP,UK
03.01.2017 15:00 - 03.01.2017 16:00,47.57,GBP,UK
